versions,an_type,mo_type,proportion,count,color
CS4,identical,refactored_move,0.0,0,#48D373
CS4,identical,refactored_rename,0.030303030303030304,6,#48D373
CS4,identical,refactored_inline,0.015151515151515152,3,#48D373
CS4,identical,refactored_extract,0.0,0,#48D373
CS4,identical,argument_rename,0.0,0,#48D373
CS4,identical,argument_reorder,0.0,0,#48D373
CS4,identical,argument_add,0.005050505050505051,1,#48D373
CS4,identical,argument_remove,0.010101010101010102,2,#48D373
CS4,identical,argument_type_change,0.005050505050505051,1,#48D373
CS4,identical,body,0.30808080808080807,61,#48D373
CS4,identical,deleted,0.08585858585858586,17,#EA0D30
CS4,refactored_move,refactored_move,0.0,0,#FCC168
CS4,refactored_move,refactored_rename,0.0,0,#48D373
CS4,refactored_move,refactored_inline,0.0,0,#EA0D30
CS4,refactored_move,refactored_extract,0.0,0,#EA0D30
CS4,refactored_move,argument_rename,0.0,0,#48D373
CS4,refactored_move,argument_reorder,0.0,0,#48D373
CS4,refactored_move,argument_add,0.0,0,#48D373
CS4,refactored_move,argument_remove,0.0,0,#48D373
CS4,refactored_move,argument_type_change,0.0,0,#48D373
CS4,refactored_move,body,0.0,0,#48D373
CS4,refactored_move,deleted,0.0,0,#EA0D30
CS4,refactored_rename,refactored_move,0.0,0,#48D373
CS4,refactored_rename,refactored_rename,0.010101010101010102,2,#FCC168
CS4,refactored_rename,refactored_inline,0.0,0,#EA0D30
CS4,refactored_rename,refactored_extract,0.0,0,#48D373
CS4,refactored_rename,argument_rename,0.0,0,#48D373
CS4,refactored_rename,argument_reorder,0.0,0,#48D373
CS4,refactored_rename,argument_add,0.0,0,#48D373
CS4,refactored_rename,argument_remove,0.0,0,#48D373
CS4,refactored_rename,argument_type_change,0.0,0,#48D373
CS4,refactored_rename,body,0.010101010101010102,2,#48D373
CS4,refactored_rename,deleted,0.0,0,#EA0D30
CS4,refactored_inline,refactored_move,0.0,0,#EA0D30
CS4,refactored_inline,refactored_rename,0.0,0,#EA0D30
CS4,refactored_inline,refactored_inline,0.0,0,#FCC168
CS4,refactored_inline,refactored_extract,0.0,0,#EA0D30
CS4,refactored_inline,argument_rename,0.0,0,#EA0D30
CS4,refactored_inline,argument_reorder,0.0,0,#EA0D30
CS4,refactored_inline,argument_add,0.0,0,#EA0D30
CS4,refactored_inline,argument_remove,0.0,0,#EA0D30
CS4,refactored_inline,argument_type_change,0.0,0,#EA0D30
CS4,refactored_inline,body,0.005050505050505051,1,#48D373
CS4,refactored_inline,deleted,0.0,0,#EA0D30
CS4,refactored_extract,refactored_move,0.0,0,#EA0D30
CS4,refactored_extract,refactored_rename,0.0,0,#48D373
CS4,refactored_extract,refactored_inline,0.0,0,#EA0D30
CS4,refactored_extract,refactored_extract,0.0,0,#FCC168
CS4,refactored_extract,argument_rename,0.0,0,#48D373
CS4,refactored_extract,argument_reorder,0.0,0,#48D373
CS4,refactored_extract,argument_add,0.0,0,#EA0D30
CS4,refactored_extract,argument_remove,0.0,0,#EA0D30
CS4,refactored_extract,argument_type_change,0.0,0,#EA0D30
CS4,refactored_extract,body,0.025252525252525252,5,#EA0D30
CS4,refactored_extract,deleted,0.0,0,#EA0D30
CS4,argument_rename,refactored_move,0.0,0,#48D373
CS4,argument_rename,refactored_rename,0.0,0,#48D373
CS4,argument_rename,refactored_inline,0.0,0,#48D373
CS4,argument_rename,refactored_extract,0.0,0,#48D373
CS4,argument_rename,argument_rename,0.0,0,#FCC168
CS4,argument_rename,argument_reorder,0.0,0,#48D373
CS4,argument_rename,argument_add,0.0,0,#FCC168
CS4,argument_rename,argument_remove,0.0,0,#48D373
CS4,argument_rename,argument_type_change,0.0,0,#48D373
CS4,argument_rename,body,0.0,0,#48D373
CS4,argument_rename,deleted,0.0,0,#EA0D30
CS4,argument_reorder,refactored_move,0.0,0,#48D373
CS4,argument_reorder,refactored_rename,0.0,0,#48D373
CS4,argument_reorder,refactored_inline,0.0,0,#48D373
CS4,argument_reorder,refactored_extract,0.0,0,#48D373
CS4,argument_reorder,argument_rename,0.0,0,#48D373
CS4,argument_reorder,argument_reorder,0.0,0,#FCC168
CS4,argument_reorder,argument_add,0.0,0,#EA0D30
CS4,argument_reorder,argument_remove,0.0,0,#EA0D30
CS4,argument_reorder,argument_type_change,0.0,0,#48D373
CS4,argument_reorder,body,0.0,0,#48D373
CS4,argument_reorder,deleted,0.0,0,#EA0D30
CS4,argument_add,refactored_move,0.0,0,#48D373
CS4,argument_add,refactored_rename,0.0,0,#48D373
CS4,argument_add,refactored_inline,0.0,0,#EA0D30
CS4,argument_add,refactored_extract,0.0,0,#EA0D30
CS4,argument_add,argument_rename,0.0,0,#48D373
CS4,argument_add,argument_reorder,0.0,0,#EA0D30
CS4,argument_add,argument_add,0.0,0,#FCC168
CS4,argument_add,argument_remove,0.0,0,#EA0D30
CS4,argument_add,argument_type_change,0.0,0,#EA0D30
CS4,argument_add,body,0.010101010101010102,2,#EA0D30
CS4,argument_add,deleted,0.0,0,#EA0D30
CS4,argument_remove,refactored_move,0.0,0,#48D373
CS4,argument_remove,refactored_rename,0.0,0,#48D373
CS4,argument_remove,refactored_inline,0.0,0,#EA0D30
CS4,argument_remove,refactored_extract,0.0,0,#EA0D30
CS4,argument_remove,argument_rename,0.0,0,#48D373
CS4,argument_remove,argument_reorder,0.0,0,#EA0D30
CS4,argument_remove,argument_add,0.0,0,#EA0D30
CS4,argument_remove,argument_remove,0.0,0,#FCC168
CS4,argument_remove,argument_type_change,0.0,0,#EA0D30
CS4,argument_remove,body,0.0,0,#EA0D30
CS4,argument_remove,deleted,0.0,0,#EA0D30
CS4,argument_type_change,refactored_move,0.0,0,#48D373
CS4,argument_type_change,refactored_rename,0.0,0,#48D373
CS4,argument_type_change,refactored_inline,0.0,0,#48D373
CS4,argument_type_change,refactored_extract,0.0,0,#EA0D30
CS4,argument_type_change,argument_rename,0.0,0,#48D373
CS4,argument_type_change,argument_reorder,0.0,0,#48D373
CS4,argument_type_change,argument_add,0.0,0,#EA0D30
CS4,argument_type_change,argument_remove,0.0,0,#EA0D30
CS4,argument_type_change,argument_type_change,0.0,0,#FCC168
CS4,argument_type_change,body,0.005050505050505051,1,#EA0D30
CS4,argument_type_change,deleted,0.0,0,#EA0D30
CS4,body,refactored_move,0.0,0,#48D373
CS4,body,refactored_rename,0.0,0,#48D373
CS4,body,refactored_inline,0.0,0,#EA0D30
CS4,body,refactored_extract,0.005050505050505051,1,#EA0D30
CS4,body,argument_rename,0.0,0,#48D373
CS4,body,argument_reorder,0.0,0,#48D373
CS4,body,argument_add,0.005050505050505051,1,#EA0D30
CS4,body,argument_remove,0.0,0,#EA0D30
CS4,body,argument_type_change,0.0,0,#EA0D30
CS4,body,body,0.35858585858585856,71,#FCC168
CS4,body,deleted,0.020202020202020204,4,#EA0D30
CS4,deleted,refactored_move,0.0,0,#EA0D30
CS4,deleted,refactored_rename,0.0,0,#EA0D30
CS4,deleted,refactored_inline,0.0,0,#EA0D30
CS4,deleted,refactored_extract,0.0,0,#EA0D30
CS4,deleted,argument_rename,0.0,0,#EA0D30
CS4,deleted,argument_reorder,0.0,0,#EA0D30
CS4,deleted,argument_add,0.0,0,#EA0D30
CS4,deleted,argument_remove,0.0,0,#EA0D30
CS4,deleted,argument_type_change,0.0,0,#EA0D30
CS4,deleted,body,0.08585858585858586,17,#EA0D30
CS4,deleted,deleted,0.0,0,#EA0D30
CS6,identical,refactored_move,0.0,0,#48D373
CS6,identical,refactored_rename,0.0075528700906344415,5,#48D373
CS6,identical,refactored_inline,0.0,0,#48D373
CS6,identical,refactored_extract,0.012084592145015106,8,#48D373
CS6,identical,argument_rename,0.0,0,#48D373
CS6,identical,argument_reorder,0.0,0,#48D373
CS6,identical,argument_add,0.01661631419939577,11,#48D373
CS6,identical,argument_remove,0.0030211480362537764,2,#48D373
CS6,identical,argument_type_change,0.0015105740181268882,1,#48D373
CS6,identical,body,0.5936555891238671,393,#48D373
CS6,identical,deleted,0.06948640483383686,46,#EA0D30
CS6,refactored_move,refactored_move,0.0,0,#FCC168
CS6,refactored_move,refactored_rename,0.0,0,#48D373
CS6,refactored_move,refactored_inline,0.0,0,#EA0D30
CS6,refactored_move,refactored_extract,0.0,0,#EA0D30
CS6,refactored_move,argument_rename,0.0,0,#48D373
CS6,refactored_move,argument_reorder,0.0,0,#48D373
CS6,refactored_move,argument_add,0.0,0,#48D373
CS6,refactored_move,argument_remove,0.0,0,#48D373
CS6,refactored_move,argument_type_change,0.0,0,#48D373
CS6,refactored_move,body,0.0,0,#48D373
CS6,refactored_move,deleted,0.0030211480362537764,2,#EA0D30
CS6,refactored_rename,refactored_move,0.0,0,#48D373
CS6,refactored_rename,refactored_rename,0.0,0,#FCC168
CS6,refactored_rename,refactored_inline,0.0,0,#EA0D30
CS6,refactored_rename,refactored_extract,0.0,0,#48D373
CS6,refactored_rename,argument_rename,0.0,0,#48D373
CS6,refactored_rename,argument_reorder,0.0,0,#48D373
CS6,refactored_rename,argument_add,0.0,0,#48D373
CS6,refactored_rename,argument_remove,0.0,0,#48D373
CS6,refactored_rename,argument_type_change,0.0,0,#48D373
CS6,refactored_rename,body,0.0,0,#48D373
CS6,refactored_rename,deleted,0.0,0,#EA0D30
CS6,refactored_inline,refactored_move,0.0,0,#EA0D30
CS6,refactored_inline,refactored_rename,0.0,0,#EA0D30
CS6,refactored_inline,refactored_inline,0.0,0,#FCC168
CS6,refactored_inline,refactored_extract,0.0,0,#EA0D30
CS6,refactored_inline,argument_rename,0.0,0,#EA0D30
CS6,refactored_inline,argument_reorder,0.0,0,#EA0D30
CS6,refactored_inline,argument_add,0.0,0,#EA0D30
CS6,refactored_inline,argument_remove,0.0,0,#EA0D30
CS6,refactored_inline,argument_type_change,0.0,0,#EA0D30
CS6,refactored_inline,body,0.0,0,#48D373
CS6,refactored_inline,deleted,0.0,0,#EA0D30
CS6,refactored_extract,refactored_move,0.0,0,#EA0D30
CS6,refactored_extract,refactored_rename,0.0,0,#48D373
CS6,refactored_extract,refactored_inline,0.0,0,#EA0D30
CS6,refactored_extract,refactored_extract,0.0,0,#FCC168
CS6,refactored_extract,argument_rename,0.0,0,#48D373
CS6,refactored_extract,argument_reorder,0.0,0,#48D373
CS6,refactored_extract,argument_add,0.0,0,#EA0D30
CS6,refactored_extract,argument_remove,0.0,0,#EA0D30
CS6,refactored_extract,argument_type_change,0.0,0,#EA0D30
CS6,refactored_extract,body,0.00906344410876133,6,#EA0D30
CS6,refactored_extract,deleted,0.0015105740181268882,1,#EA0D30
CS6,argument_rename,refactored_move,0.0,0,#48D373
CS6,argument_rename,refactored_rename,0.0,0,#48D373
CS6,argument_rename,refactored_inline,0.0,0,#48D373
CS6,argument_rename,refactored_extract,0.0,0,#48D373
CS6,argument_rename,argument_rename,0.0,0,#FCC168
CS6,argument_rename,argument_reorder,0.0,0,#48D373
CS6,argument_rename,argument_add,0.0,0,#FCC168
CS6,argument_rename,argument_remove,0.0,0,#48D373
CS6,argument_rename,argument_type_change,0.0,0,#48D373
CS6,argument_rename,body,0.0,0,#48D373
CS6,argument_rename,deleted,0.0,0,#EA0D30
CS6,argument_reorder,refactored_move,0.0,0,#48D373
CS6,argument_reorder,refactored_rename,0.0,0,#48D373
CS6,argument_reorder,refactored_inline,0.0,0,#48D373
CS6,argument_reorder,refactored_extract,0.0,0,#48D373
CS6,argument_reorder,argument_rename,0.0,0,#48D373
CS6,argument_reorder,argument_reorder,0.0,0,#FCC168
CS6,argument_reorder,argument_add,0.0,0,#EA0D30
CS6,argument_reorder,argument_remove,0.0,0,#EA0D30
CS6,argument_reorder,argument_type_change,0.0,0,#48D373
CS6,argument_reorder,body,0.0,0,#48D373
CS6,argument_reorder,deleted,0.0,0,#EA0D30
CS6,argument_add,refactored_move,0.0,0,#48D373
CS6,argument_add,refactored_rename,0.0,0,#48D373
CS6,argument_add,refactored_inline,0.0,0,#EA0D30
CS6,argument_add,refactored_extract,0.0,0,#EA0D30
CS6,argument_add,argument_rename,0.0,0,#48D373
CS6,argument_add,argument_reorder,0.0,0,#EA0D30
CS6,argument_add,argument_add,0.0,0,#FCC168
CS6,argument_add,argument_remove,0.0,0,#EA0D30
CS6,argument_add,argument_type_change,0.0,0,#EA0D30
CS6,argument_add,body,0.0015105740181268882,1,#EA0D30
CS6,argument_add,deleted,0.0030211480362537764,2,#EA0D30
CS6,argument_remove,refactored_move,0.0,0,#48D373
CS6,argument_remove,refactored_rename,0.0,0,#48D373
CS6,argument_remove,refactored_inline,0.0,0,#EA0D30
CS6,argument_remove,refactored_extract,0.0,0,#EA0D30
CS6,argument_remove,argument_rename,0.0,0,#48D373
CS6,argument_remove,argument_reorder,0.0,0,#EA0D30
CS6,argument_remove,argument_add,0.0,0,#EA0D30
CS6,argument_remove,argument_remove,0.0,0,#FCC168
CS6,argument_remove,argument_type_change,0.0,0,#EA0D30
CS6,argument_remove,body,0.004531722054380665,3,#EA0D30
CS6,argument_remove,deleted,0.0,0,#EA0D30
CS6,argument_type_change,refactored_move,0.0,0,#48D373
CS6,argument_type_change,refactored_rename,0.0,0,#48D373
CS6,argument_type_change,refactored_inline,0.0,0,#48D373
CS6,argument_type_change,refactored_extract,0.0,0,#EA0D30
CS6,argument_type_change,argument_rename,0.0,0,#48D373
CS6,argument_type_change,argument_reorder,0.0,0,#48D373
CS6,argument_type_change,argument_add,0.0,0,#EA0D30
CS6,argument_type_change,argument_remove,0.0,0,#EA0D30
CS6,argument_type_change,argument_type_change,0.0,0,#FCC168
CS6,argument_type_change,body,0.0,0,#EA0D30
CS6,argument_type_change,deleted,0.0,0,#EA0D30
CS6,body,refactored_move,0.0,0,#48D373
CS6,body,refactored_rename,0.01661631419939577,11,#48D373
CS6,body,refactored_inline,0.0,0,#EA0D30
CS6,body,refactored_extract,0.004531722054380665,3,#EA0D30
CS6,body,argument_rename,0.0,0,#48D373
CS6,body,argument_reorder,0.0,0,#48D373
CS6,body,argument_add,0.0030211480362537764,2,#EA0D30
CS6,body,argument_remove,0.0,0,#EA0D30
CS6,body,argument_type_change,0.0015105740181268882,1,#EA0D30
CS6,body,body,0.11027190332326284,73,#FCC168
CS6,body,deleted,0.0,0,#EA0D30
CS6,deleted,refactored_move,0.0,0,#EA0D30
CS6,deleted,refactored_rename,0.0,0,#EA0D30
CS6,deleted,refactored_inline,0.0015105740181268882,1,#EA0D30
CS6,deleted,refactored_extract,0.0030211480362537764,2,#EA0D30
CS6,deleted,argument_rename,0.0,0,#EA0D30
CS6,deleted,argument_reorder,0.0,0,#EA0D30
CS6,deleted,argument_add,0.0030211480362537764,2,#EA0D30
