versions,an_type,mo_type,proportion,count,color
CS6,deleted,argument_remove,0.0,0,#EA0D30
CS6,deleted,argument_type_change,0.0,0,#EA0D30
CS6,deleted,body,0.03927492447129909,26,#EA0D30
CS6,deleted,deleted,0.09063444108761329,60,#EA0D30
CS3,identical,refactored_move,0.0,0,#48D373
CS3,identical,refactored_rename,0.0,0,#48D373
CS3,identical,refactored_inline,0.0,0,#48D373
CS3,identical,refactored_extract,0.006896551724137931,3,#48D373
CS3,identical,argument_rename,0.0,0,#48D373
CS3,identical,argument_reorder,0.0,0,#48D373
CS3,identical,argument_add,0.01839080459770115,8,#48D373
CS3,identical,argument_remove,0.0022988505747126436,1,#48D373
CS3,identical,argument_type_change,0.0,0,#48D373
CS3,identical,body,0.1839080459770115,80,#48D373
CS3,identical,deleted,0.08275862068965517,36,#EA0D30
CS3,refactored_move,refactored_move,0.0,0,#FCC168
CS3,refactored_move,refactored_rename,0.0,0,#48D373
CS3,refactored_move,refactored_inline,0.0,0,#EA0D30
CS3,refactored_move,refactored_extract,0.0,0,#EA0D30
CS3,refactored_move,argument_rename,0.0,0,#48D373
CS3,refactored_move,argument_reorder,0.0,0,#48D373
CS3,refactored_move,argument_add,0.0,0,#48D373
CS3,refactored_move,argument_remove,0.0,0,#48D373
CS3,refactored_move,argument_type_change,0.0,0,#48D373
CS3,refactored_move,body,0.0022988505747126436,1,#48D373
CS3,refactored_move,deleted,0.0,0,#EA0D30
CS3,refactored_rename,refactored_move,0.0,0,#48D373
CS3,refactored_rename,refactored_rename,0.0,0,#FCC168
CS3,refactored_rename,refactored_inline,0.0,0,#EA0D30
CS3,refactored_rename,refactored_extract,0.0,0,#48D373
CS3,refactored_rename,argument_rename,0.0,0,#48D373
CS3,refactored_rename,argument_reorder,0.0,0,#48D373
CS3,refactored_rename,argument_add,0.0,0,#48D373
CS3,refactored_rename,argument_remove,0.0,0,#48D373
CS3,refactored_rename,argument_type_change,0.0,0,#48D373
CS3,refactored_rename,body,0.004597701149425287,2,#48D373
CS3,refactored_rename,deleted,0.0,0,#EA0D30
CS3,refactored_inline,refactored_move,0.0,0,#EA0D30
CS3,refactored_inline,refactored_rename,0.0,0,#EA0D30
CS3,refactored_inline,refactored_inline,0.0,0,#FCC168
CS3,refactored_inline,refactored_extract,0.0,0,#EA0D30
CS3,refactored_inline,argument_rename,0.0,0,#EA0D30
CS3,refactored_inline,argument_reorder,0.0,0,#EA0D30
CS3,refactored_inline,argument_add,0.0,0,#EA0D30
CS3,refactored_inline,argument_remove,0.0,0,#EA0D30
CS3,refactored_inline,argument_type_change,0.0,0,#EA0D30
CS3,refactored_inline,body,0.0022988505747126436,1,#48D373
CS3,refactored_inline,deleted,0.0,0,#EA0D30
CS3,refactored_extract,refactored_move,0.0,0,#EA0D30
CS3,refactored_extract,refactored_rename,0.0,0,#48D373
CS3,refactored_extract,refactored_inline,0.0,0,#EA0D30
CS3,refactored_extract,refactored_extract,0.0,0,#FCC168
CS3,refactored_extract,argument_rename,0.0,0,#48D373
CS3,refactored_extract,argument_reorder,0.0,0,#48D373
CS3,refactored_extract,argument_add,0.0022988505747126436,1,#EA0D30
CS3,refactored_extract,argument_remove,0.0,0,#EA0D30
CS3,refactored_extract,argument_type_change,0.0,0,#EA0D30
CS3,refactored_extract,body,0.013793103448275862,6,#EA0D30
CS3,refactored_extract,deleted,0.0,0,#EA0D30
CS3,argument_rename,refactored_move,0.0,0,#48D373
CS3,argument_rename,refactored_rename,0.0,0,#48D373
CS3,argument_rename,refactored_inline,0.0,0,#48D373
CS3,argument_rename,refactored_extract,0.0,0,#48D373
CS3,argument_rename,argument_rename,0.0,0,#FCC168
CS3,argument_rename,argument_reorder,0.0,0,#48D373
CS3,argument_rename,argument_add,0.0,0,#FCC168
CS3,argument_rename,argument_remove,0.0,0,#48D373
CS3,argument_rename,argument_type_change,0.0,0,#48D373
CS3,argument_rename,body,0.004597701149425287,2,#48D373
CS3,argument_rename,deleted,0.0,0,#EA0D30
CS3,argument_reorder,refactored_move,0.0,0,#48D373
CS3,argument_reorder,refactored_rename,0.0,0,#48D373
CS3,argument_reorder,refactored_inline,0.0,0,#48D373
CS3,argument_reorder,refactored_extract,0.0,0,#48D373
CS3,argument_reorder,argument_rename,0.0,0,#48D373
CS3,argument_reorder,argument_reorder,0.0,0,#FCC168
CS3,argument_reorder,argument_add,0.0,0,#EA0D30
CS3,argument_reorder,argument_remove,0.0,0,#EA0D30
CS3,argument_reorder,argument_type_change,0.0,0,#48D373
CS3,argument_reorder,body,0.0022988505747126436,1,#48D373
CS3,argument_reorder,deleted,0.0,0,#EA0D30
CS3,argument_add,refactored_move,0.0,0,#48D373
CS3,argument_add,refactored_rename,0.0,0,#48D373
CS3,argument_add,refactored_inline,0.0,0,#EA0D30
CS3,argument_add,refactored_extract,0.0,0,#EA0D30
CS3,argument_add,argument_rename,0.0,0,#48D373
CS3,argument_add,argument_reorder,0.0,0,#EA0D30
CS3,argument_add,argument_add,0.0,0,#FCC168
CS3,argument_add,argument_remove,0.0,0,#EA0D30
CS3,argument_add,argument_type_change,0.0,0,#EA0D30
CS3,argument_add,body,0.004597701149425287,2,#EA0D30
CS3,argument_add,deleted,0.0,0,#EA0D30
CS3,argument_remove,refactored_move,0.0,0,#48D373
CS3,argument_remove,refactored_rename,0.0,0,#48D373
CS3,argument_remove,refactored_inline,0.0,0,#EA0D30
CS3,argument_remove,refactored_extract,0.0,0,#EA0D30
CS3,argument_remove,argument_rename,0.0,0,#48D373
CS3,argument_remove,argument_reorder,0.0,0,#EA0D30
CS3,argument_remove,argument_add,0.0,0,#EA0D30
CS3,argument_remove,argument_remove,0.0,0,#FCC168
CS3,argument_remove,argument_type_change,0.0,0,#EA0D30
CS3,argument_remove,body,0.009195402298850575,4,#EA0D30
CS3,argument_remove,deleted,0.0,0,#EA0D30
CS3,argument_type_change,refactored_move,0.0,0,#48D373
CS3,argument_type_change,refactored_rename,0.0,0,#48D373
CS3,argument_type_change,refactored_inline,0.0,0,#48D373
CS3,argument_type_change,refactored_extract,0.0,0,#EA0D30
CS3,argument_type_change,argument_rename,0.0,0,#48D373
CS3,argument_type_change,argument_reorder,0.0,0,#48D373
CS3,argument_type_change,argument_add,0.0,0,#EA0D30
CS3,argument_type_change,argument_remove,0.0,0,#EA0D30
CS3,argument_type_change,argument_type_change,0.0,0,#FCC168
CS3,argument_type_change,body,0.0022988505747126436,1,#EA0D30
CS3,argument_type_change,deleted,0.0,0,#EA0D30
CS3,body,refactored_move,0.0,0,#48D373
CS3,body,refactored_rename,0.0,0,#48D373
CS3,body,refactored_inline,0.0,0,#EA0D30
CS3,body,refactored_extract,0.006896551724137931,3,#EA0D30
CS3,body,argument_rename,0.0,0,#48D373
CS3,body,argument_reorder,0.0,0,#48D373
CS3,body,argument_add,0.004597701149425287,2,#EA0D30
CS3,body,argument_remove,0.0,0,#EA0D30
CS3,body,argument_type_change,0.0,0,#EA0D30
CS3,body,body,0.22988505747126436,100,#FCC168
CS3,body,deleted,0.013793103448275862,6,#EA0D30
CS3,deleted,refactored_move,0.0,0,#EA0D30
CS3,deleted,refactored_rename,0.0,0,#EA0D30
CS3,deleted,refactored_inline,0.0,0,#EA0D30
CS3,deleted,refactored_extract,0.006896551724137931,3,#EA0D30
CS3,deleted,argument_rename,0.004597701149425287,2,#EA0D30
CS3,deleted,argument_reorder,0.0,0,#EA0D30
CS3,deleted,argument_add,0.011494252873563218,5,#EA0D30
CS3,deleted,argument_remove,0.006896551724137931,3,#EA0D30
CS3,deleted,argument_type_change,0.0,0,#EA0D30
CS3,deleted,body,0.20689655172413793,90,#EA0D30
CS3,deleted,deleted,0.16551724137931034,72,#EA0D30
CS7,identical,refactored_move,0.0,0,#48D373
CS7,identical,refactored_rename,0.0,0,#48D373
CS7,identical,refactored_inline,0.0,0,#48D373
CS7,identical,refactored_extract,0.0625,1,#48D373
CS7,identical,argument_rename,0.0,0,#48D373
CS7,identical,argument_reorder,0.0,0,#48D373
CS7,identical,argument_add,0.0,0,#48D373
CS7,identical,argument_remove,0.0,0,#48D373
CS7,identical,argument_type_change,0.0,0,#48D373
CS7,identical,body,0.4375,7,#48D373
CS7,identical,deleted,0.0,0,#EA0D30
CS7,refactored_move,refactored_move,0.0,0,#FCC168
CS7,refactored_move,refactored_rename,0.0,0,#48D373
CS7,refactored_move,refactored_inline,0.0,0,#EA0D30
CS7,refactored_move,refactored_extract,0.0,0,#EA0D30
CS7,refactored_move,argument_rename,0.0,0,#48D373
CS7,refactored_move,argument_reorder,0.0,0,#48D373
CS7,refactored_move,argument_add,0.0,0,#48D373
CS7,refactored_move,argument_remove,0.0,0,#48D373
CS7,refactored_move,argument_type_change,0.0,0,#48D373
CS7,refactored_move,body,0.0,0,#48D373
CS7,refactored_move,deleted,0.0,0,#EA0D30
CS7,refactored_rename,refactored_move,0.0,0,#48D373
CS7,refactored_rename,refactored_rename,0.0,0,#FCC168
CS7,refactored_rename,refactored_inline,0.0,0,#EA0D30
CS7,refactored_rename,refactored_extract,0.0,0,#48D373
CS7,refactored_rename,argument_rename,0.0,0,#48D373
CS7,refactored_rename,argument_reorder,0.0,0,#48D373
CS7,refactored_rename,argument_add,0.0,0,#48D373
CS7,refactored_rename,argument_remove,0.0,0,#48D373
CS7,refactored_rename,argument_type_change,0.0,0,#48D373
CS7,refactored_rename,body,0.0,0,#48D373
CS7,refactored_rename,deleted,0.0,0,#EA0D30
CS7,refactored_inline,refactored_move,0.0,0,#EA0D30
CS7,refactored_inline,refactored_rename,0.0,0,#EA0D30
CS7,refactored_inline,refactored_inline,0.0,0,#FCC168
CS7,refactored_inline,refactored_extract,0.0,0,#EA0D30
CS7,refactored_inline,argument_rename,0.0,0,#EA0D30
CS7,refactored_inline,argument_reorder,0.0,0,#EA0D30
CS7,refactored_inline,argument_add,0.0,0,#EA0D30
CS7,refactored_inline,argument_remove,0.0,0,#EA0D30
CS7,refactored_inline,argument_type_change,0.0,0,#EA0D30
CS7,refactored_inline,body,0.0,0,#48D373
CS7,refactored_inline,deleted,0.0,0,#EA0D30
CS7,refactored_extract,refactored_move,0.0,0,#EA0D30
CS7,refactored_extract,refactored_rename,0.0,0,#48D373
CS7,refactored_extract,refactored_inline,0.0,0,#EA0D30
CS7,refactored_extract,refactored_extract,0.0,0,#FCC168
CS7,refactored_extract,argument_rename,0.0,0,#48D373
CS7,refactored_extract,argument_reorder,0.0,0,#48D373
CS7,refactored_extract,argument_add,0.0,0,#EA0D30
CS7,refactored_extract,argument_remove,0.0,0,#EA0D30
CS7,refactored_extract,argument_type_change,0.0,0,#EA0D30
CS7,refactored_extract,body,0.0625,1,#EA0D30
CS7,refactored_extract,deleted,0.0,0,#EA0D30
CS7,argument_rename,refactored_move,0.0,0,#48D373
CS7,argument_rename,refactored_rename,0.0,0,#48D373
CS7,argument_rename,refactored_inline,0.0,0,#48D373
CS7,argument_rename,refactored_extract,0.0,0,#48D373
CS7,argument_rename,argument_rename,0.0,0,#FCC168
CS7,argument_rename,argument_reorder,0.0,0,#48D373
CS7,argument_rename,argument_add,0.0,0,#FCC168
CS7,argument_rename,argument_remove,0.0,0,#48D373
CS7,argument_rename,argument_type_change,0.0,0,#48D373
CS7,argument_rename,body,0.0,0,#48D373
CS7,argument_rename,deleted,0.0,0,#EA0D30
CS7,argument_reorder,refactored_move,0.0,0,#48D373
CS7,argument_reorder,refactored_rename,0.0,0,#48D373
CS7,argument_reorder,refactored_inline,0.0,0,#48D373
CS7,argument_reorder,refactored_extract,0.0,0,#48D373
CS7,argument_reorder,argument_rename,0.0,0,#48D373
CS7,argument_reorder,argument_reorder,0.0,0,#FCC168
CS7,argument_reorder,argument_add,0.0,0,#EA0D30
CS7,argument_reorder,argument_remove,0.0,0,#EA0D30
CS7,argument_reorder,argument_type_change,0.0,0,#48D373
CS7,argument_reorder,body,0.0,0,#48D373
CS7,argument_reorder,deleted,0.0,0,#EA0D30
CS7,argument_add,refactored_move,0.0,0,#48D373
CS7,argument_add,refactored_rename,0.0,0,#48D373
CS7,argument_add,refactored_inline,0.0,0,#EA0D30
CS7,argument_add,refactored_extract,0.0,0,#EA0D30
CS7,argument_add,argument_rename,0.0,0,#48D373
CS7,argument_add,argument_reorder,0.0,0,#EA0D30
CS7,argument_add,argument_add,0.0,0,#FCC168
CS7,argument_add,argument_remove,0.0,0,#EA0D30
CS7,argument_add,argument_type_change,0.0,0,#EA0D30
CS7,argument_add,body,0.0,0,#EA0D30
CS7,argument_add,deleted,0.0,0,#EA0D30
CS7,argument_remove,refactored_move,0.0,0,#48D373
CS7,argument_remove,refactored_rename,0.0,0,#48D373
CS7,argument_remove,refactored_inline,0.0,0,#EA0D30
CS7,argument_remove,refactored_extract,0.0,0,#EA0D30
CS7,argument_remove,argument_rename,0.0,0,#48D373
CS7,argument_remove,argument_reorder,0.0,0,#EA0D30
CS7,argument_remove,argument_add,0.0,0,#EA0D30
CS7,argument_remove,argument_remove,0.0,0,#FCC168
CS7,argument_remove,argument_type_change,0.0,0,#EA0D30
CS7,argument_remove,body,0.0,0,#EA0D30
CS7,argument_remove,deleted,0.0,0,#EA0D30
CS7,argument_type_change,refactored_move,0.0,0,#48D373
CS7,argument_type_change,refactored_rename,0.0,0,#48D373
CS7,argument_type_change,refactored_inline,0.0,0,#48D373
CS7,argument_type_change,refactored_extract,0.0,0,#EA0D30
CS7,argument_type_change,argument_rename,0.0,0,#48D373
CS7,argument_type_change,argument_reorder,0.0,0,#48D373
CS7,argument_type_change,argument_add,0.0,0,#EA0D30
CS7,argument_type_change,argument_remove,0.0,0,#EA0D30
CS7,argument_type_change,argument_type_change,0.0,0,#FCC168
CS7,argument_type_change,body,0.0,0,#EA0D30
CS7,argument_type_change,deleted,0.0,0,#EA0D30
CS7,body,refactored_move,0.0,0,#48D373
CS7,body,refactored_rename,0.0,0,#48D373
CS7,body,refactored_inline,0.0,0,#EA0D30
CS7,body,refactored_extract,0.0,0,#EA0D30
CS7,body,argument_rename,0.0,0,#48D373
CS7,body,argument_reorder,0.0,0,#48D373
CS7,body,argument_add,0.0,0,#EA0D30
CS7,body,argument_remove,0.0,0,#EA0D30
CS7,body,argument_type_change,0.0,0,#EA0D30
CS7,body,body,0.3125,5,#FCC168
CS7,body,deleted,0.0,0,#EA0D30
CS7,deleted,refactored_move,0.0,0,#EA0D30
CS7,deleted,refactored_rename,0.0,0,#EA0D30
CS7,deleted,refactored_inline,0.0,0,#EA0D30
CS7,deleted,refactored_extract,0.0,0,#EA0D30
CS7,deleted,argument_rename,0.0,0,#EA0D30
CS7,deleted,argument_reorder,0.0,0,#EA0D30
CS7,deleted,argument_add,0.0,0,#EA0D30
CS7,deleted,argument_remove,0.0,0,#EA0D30
CS7,deleted,argument_type_change,0.0,0,#EA0D30
CS7,deleted,body,0.125,2,#EA0D30
CS7,deleted,deleted,0.0,0,#EA0D30